1.13685,
7.6288,
17.5122,
29.3697,

1.16836,
10.6034,
27.4932,
48.2821,

1.19357,
14.6095,
42.861,
78.0395,

1.24273,
21.0468,
67.8,
130.645,

1.2094,
